-8.005711,0.2852342,25.03342
-5.432529,-0.5865315,17.10232
-5.249146,0.1671933,17.63225
-4.431671,0.629634,15.09912
-8.680004,0.2860834,27.12829
-5.991604,-0.6521751,18.84195
-4.556103,0.1438637,15.22174
-2.52356,1.953731,17.72893
-1.676089,1.632132,11.74805
-8.720443,0.2324613,27.17956
-6.219552,-0.7147801,19.50079
-4.490715,0.1121873,14.96006
-3.886254,0.5042585,13.10779
-1.639215,1.107923,7.861286
-2.519819,1.905691,17.60526
-8.570127,0.2461821,26.68092
-6.096719,-0.6867724,19.09043
-3.800246,0.5011582,12.80528
-8.408337,0.2436043,26.1631
-5.864588,-0.6580684,18.35274
-3.823339,0.5044816,12.8755
-8.211827,0.230623,25.49811
-5.701837,-0.6376328,17.80515
-3.74559,0.4948817,12.61943
-8.179782,0.2393827,25.36823
-5.742043,-0.6346604,17.90843
-3.74559,0.4990536,12.60345
-7.938775,0.2417125,24.58147
-5.776037,-0.6310785,17.98296
-3.714495,0.4987447,12.47793
-7.612102,0.2199654,23.55416
-5.398891,-0.5969596,16.7992
-3.694834,0.4891107,12.40265
-7.279619,0.2097618,22.61735
-5.06205,-0.5487043,15.81254
-3.640758,0.4896028,12.24543
-0.05145643,-0.2288496,0.2642949
-7.196662,0.2011093,22.34669
-4.967649,-0.5422099,15.50938
-3.650915,0.4869944,12.27166
-0.05090905,-0.2275019,0.2632734
0.03325991,0.009430645,0.2240249
0.04338098,-0.01782081,0.2255096
-7.004201,0.1971654,21.73658
-4.814379,-0.5238909,15.023
-0.05296579,-0.2149663,0.2675936
-3.652009,0.4872271,12.26696
0.03790877,-0.01240986,0.2246481
-0.05088889,-0.2276731,0.2633513
0.0333039,0.009411025,0.2239878
0.04342474,-0.0178382,0.225461
-6.674696,0.1883636,20.70759
-4.372849,-0.473886,13.6448
-0.05325476,-0.2158752,0.2687122
-3.46489,0.4633408,11.63656
0.03795327,-0.01244907,0.224749
-0.05973415,-0.221006,0.2687115
